data,event-type,id,key,name,probable-cause,severity,task,text,container,host,level,neid,process,service,system,time,timezone,type,userid
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:55:41.110445Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:45:41.106954Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:35:41.104344Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:25:41.097591Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:15:41.094681Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T08:05:41.018761Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:55:41.013053Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:45:41.008455Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:35:41.001186Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:25:40.913467Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:15:40.905453Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T07:05:40.902315Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T06:55:40.893447Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T06:45:40.798898Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T06:35:40.795772Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T06:25:40.700882Z,CET,alarm,
{},communicationsAlarm,164000,2522dc33c78c417650f42cdacea2e9914e51671f756022e0a51ec154e46670c6,heartbeat,other,minor,notify,Heartbeat alarm,d7cf2206339b,mkt-ntas1-ref-reporting-1,warning,409395,alarm-streamer,alarm-streamer,mkt-ntas1-ref,2021-03-03T06:15:40.698059Z,CET,alarm,
